cellBC	JAK1wtTXcnt	JAK1mutTXcnt
bcAAAU	1	0
bcAAED	0	0
bcAAFJ	30	0
bcAAMB	0	0
bcAAPJ	0	0
bcAARM	1	0
bcAATJ	4	0
bcAATP	8	0
bcAAUD	0	0
bcAAXO	4	0
bcABBV	1	0
bcABCC	4	0
bcABDH	6	0
bcABGJ	0	0
bcABHJ	0	0
bcABIZ	0	0
bcABJD	0	0
bcABJI	0	0
bcABJS	17	0
bcABKQ	0	0
bcABNB	0	0
bcABNN	0	0
bcABQS	0	0
bcABTO	0	0
bcACCB	0	0
bcACCR	0	0
bcACDR	0	0
bcACGV	0	0
bcACJN	2	0
bcACLN	0	0
bcACPE	1	0
bcACPG	0	0
bcACRQ	11	0
bcACTU	0	0
bcACUH	9	0
bcACVW	0	0
bcACZS	0	0
bcADGD	0	0
bcADKE	0	0
bcADMX	13	0
bcADPT	0	0
bcADQE	0	0
bcADSB	0	0
bcADSH	0	0
bcADSQ	0	0
bcADUE	0	0
bcADXA	0	0
bcADYE	0	0
bcAEBR	0	0
bcAECQ	0	0
bcAEDL	0	0
bcAEEF	0	0
bcAEJM	18	0
bcAEOV	0	0
bcAEPQ	0	0
bcAFAJ	0	0
bcAFCY	15	0
bcAFDB	0	0
bcAFDO	0	0
bcAFEL	0	0
bcAFGG	0	0
bcAFGT	0	0
bcAFGX	0	0
bcAFHK	0	0
bcAFJD	10	0
bcAFKC	0	0
bcAFQS	19	0
bcAFVU	2	0
bcAGAO	0	0
bcAGAS	0	0
bcAGAX	0	0
bcAGKH	0	0
bcAGLD	0	0
bcAGNQ	0	0
bcAGPR	0	0
bcAGRH	6	0
bcAGTV	47	0
bcAGWP	0	0
bcAGXP	1	0
bcAHCD	0	0
bcAHLI	1	0
bcAHPV	0	0
bcAHUP	5	0
bcAHYW	0	0
bcAIAO	3	0
bcAIDQ	0	0
bcAIEM	2	0
bcAIFJ	0	0
bcAIGQ	0	0
bcAIHA	0	0
bcAIIR	0	0
bcAIKB	1	0
bcAINA	0	0
bcAIOE	0	0
bcAIOL	7	0
bcAISN	0	0
bcAIUP	1	0
bcAIZM	1	0
bcAJAM	0	0
bcAJBW	0	0
bcAJFO	0	0
bcAJGM	0	0
bcAJGP	0	0
bcAJGT	0	0
bcAJIA	0	0
bcAJLO	0	0
bcAJNL	0	0
bcAJPQ	0	0
bcAJSM	0	0
bcAJTZ	7	0
bcAJUA	2	0
bcAJUI	0	0
bcAKBN	0	0
bcAKFT	0	0
bcAKGI	0	0
bcAKGK	22	0
bcAKGO	30	0
bcAKHT	25	0
bcAKIG	0	0
bcAKIL	22	0
bcAKJK	0	0
bcAKLB	0	0
bcAKNT	9	0
bcAKSB	0	0
bcAKTE	6	0
bcAKUI	0	0
bcAKVF	0	0
bcAKWH	0	0
bcAKWQ	0	0
bcALGQ	26	0
bcALLN	1	0
bcALPS	10	0
bcALPY	19	0
bcALRJ	1	0
bcALSQ	2	0
bcALTI	0	0
bcALUY	0	0
bcALWM	0	0
bcALYU	0	0
bcALZV	0	0
bcAMBU	0	0
bcAMBZ	0	0
bcAMCT	0	0
bcAMHK	0	0
bcAMHQ	0	0
bcAMLB	3	0
bcAMMI	14	0
bcAMNF	1	0
bcAMNP	0	0
bcAMOD	8	0
bcAMOJ	0	0
bcAMOW	7	0
bcAMUC	13	0
bcAMWO	0	0
bcAMWV	2	0
bcAMZB	1	0
bcANAS	0	0
bcANBY	0	0
bcANCH	0	0
bcANNQ	0	0
bcANRC	0	0
bcANSV	0	0
bcANTI	0	0
bcANWM	22	0
bcANXL	24	0
bcANXZ	4	0
bcAOBU	0	0
bcAOCE	0	0
bcAOCF	31	0
bcAODI	0	0
bcAOEW	1	0
bcAOHE	2	0
bcAOIN	0	0
bcAONM	17	0
bcAONX	0	0
bcAOTO	21	0
bcAOUD	11	0
bcAOWK	9	0
bcAOWS	1	0
bcAPEB	0	0
bcAPNS	0	0
bcAPON	0	0
bcAPVT	0	0
bcAPYD	0	0
bcAPYW	0	0
bcAQBV	0	0
bcAQCM	0	0
bcAQHL	7	0
bcAQIY	0	0
bcAQKF	0	0
bcAQPY	40	0
bcAQSS	1	0
bcAQUV	0	0
bcAQWE	0	0
bcAQXZ	0	0
bcARAH	0	0
bcARCV	0	0
bcAREW	0	0
bcARJA	12	0
bcARLM	11	0
bcARNJ	1	0
bcARNU	0	0
bcARPW	13	0
bcARQR	1	0
bcARSK	48	0
bcARTW	0	0
bcARVM	21	0
bcASCA	0	0
bcASFI	0	0
bcATIT	0	0
bcATNW	0	0
bcATTB	0	0
bcATTN	0	0
bcATUX	0	0
bcATYT	0	0
bcAUAE	16	0
bcAUGT	1	0
bcAUKJ	0	0
bcAUMR	0	0
bcAUOR	10	0
bcAUPJ	0	0
bcAUTX	0	0
bcAUWO	0	0
bcAUXG	14	0
bcAUYM	6	0
bcAUYN	0	0
bcAVBR	24	0
bcAVCA	14	0
bcAVCI	0	0
bcAVCM	0	0
bcAVDH	0	0
bcAVEI	0	0
bcAVEY	1	0
bcAVLY	29	0
bcAVOX	3	0
bcAVQB	0	0
bcAVTL	0	0
bcAVUL	0	0
bcAVUU	1	0
bcAVWE	0	0
bcAVXB	0	0
bcAVZE	11	0
bcAWAZ	0	0
bcAWEG	48	0
bcAWFX	0	0
bcAWHI	1	0
bcAWHZ	35	0
bcAWIT	14	0
bcAWLR	7	0
bcAWMB	0	0
bcAWQB	0	0
bcAXBE	0	0
bcAXHM	0	0
bcAXKE	6	0
bcAXMA	0	0
bcAXNI	0	0
bcAXRO	0	0
bcAXSW	0	0
bcAYCA	0	0
bcAYCU	0	0
bcAYEO	0	0
bcAYHZ	10	0
bcAYIU	0	0
bcAYNC	18	0
bcAYNZ	17	0
bcAYOO	1	0
bcAYPN	1	0
bcAYRG	0	0
bcAYRO	0	0
bcAYSD	0	0
bcAYVJ	12	0
bcAYWQ	0	0
bcAYWR	0	0
bcAYYJ	0	0
bcAZAI	0	0
bcAZAL	0	0
bcAZBS	0	0
bcAZFW	0	0
bcAZGA	0	0
bcAZGC	0	0
bcAZJS	0	0
bcAZOX	17	0
bcAZOY	0	0
bcAZRT	0	0
bcAZRW	3	0
bcAZVI	0	0
bcAZWF	0	0
bcBAGJ	0	0
bcBALM	0	0
bcBAMI	8	0
bcBAOA	16	0
bcBAOE	0	0
bcBAOQ	18	0
bcBAPL	5	0
bcBASV	13	0
bcBAVE	8	0
bcBAZY	15	0
bcBBHB	0	0
bcBBHD	0	0
bcBBHQ	0	0
bcBBHW	19	0
bcBBKP	0	0
bcBBKV	0	0
bcBBOE	0	0
bcBBSI	0	0
bcBBWD	0	0
bcBBWH	0	0
bcBCDD	0	0
bcBCEM	0	0
bcBCJK	6	0
bcBCLB	0	0
bcBCLC	0	0
bcBCOZ	15	0
bcBCSS	0	0
bcBCUA	0	0
bcBCUU	22	0
bcBCYF	0	0
bcBCZS	0	0
bcBCZV	0	0
bcBCZW	0	0
bcBDAH	1	0
bcBDAP	0	0
bcBDCK	18	0
bcBDIP	5	0
bcBDIZ	21	0
bcBDOD	0	0
bcBDOP	0	0
bcBDPW	0	0
bcBDWK	3	0
bcBDZY	0	0
bcBEAS	0	0
bcBEDJ	0	0
bcBEDT	0	0
bcBEJM	1	0
bcBEKJ	0	0
bcBEXJ	0	0
bcBEYP	0	0
bcBFBN	0	0
bcBFHF	20	0
bcBFHI	0	0
bcBFMO	0	0
bcBFMR	14	0
bcBFOU	6	0
bcBFTB	0	0
bcBFTK	23	0
bcBFTV	0	0
bcBGAE	0	0
bcBGAW	0	0
bcBGBD	0	0
bcBGCP	7	0
bcBGEL	3	0
bcBGGH	0	0
bcBGGV	0	0
bcBGIT	0	0
bcBGNV	0	0
bcBGRJ	0	0
bcBGVR	0	0
bcBGYS	0	0
bcBGZF	0	0
bcBGZM	1	0
bcBHAG	0	0
bcBHAO	11	0
bcBHAS	0	0
bcBHDV	0	0
bcBHDZ	3	0
bcBHEB	0	0
bcBHEX	0	0
bcBHFM	0	0
bcBHHJ	0	0
bcBHIT	0	0
bcBHKS	0	0
bcBHMM	0	0
bcBHMP	0	0
bcBHNZ	0	0
bcBHPN	3	0
bcBHPQ	25	0
bcBHUH	0	0
bcBHXX	0	0
bcBHZH	0	0
bcBHZL	0	0
bcBHZR	0	0
bcBIAR	0	0
bcBIAT	1	0
bcBIOE	0	0
bcBIRF	0	0
bcBIWF	0	0
bcBJAE	0	0
bcBJCC	0	0
bcBJDV	0	0
bcBJGI	0	0
bcBJGL	0	0
bcBJHZ	0	0
bcBJIL	15	0
bcBJMS	0	0
bcBJOR	0	0
bcBJTP	0	0
bcBJUM	72	0
bcBJVW	0	0
bcBJWI	0	0
bcBKAI	0	0
bcBKBK	1	0
bcBKHE	10	0
bcBKJV	0	0
bcBKMQ	1	0
bcBKND	0	0
bcBKUS	14	0
bcBKYG	0	0
bcBKYH	0	0
bcBKYP	0	0
bcBLFS	11	0
bcBLHY	0	0
bcBLIP	0	0
bcBLLM	0	0
bcBLNK	0	0
bcBLNR	24	0
bcBLTB	2	0
bcBLXZ	0	0
bcBLYL	0	0
bcBMBA	7	0
bcBMHI	6	0
bcBMMC	3	0
bcBMNJ	0	0
bcBMNV	7	0
bcBMQZ	0	0
bcBMRC	0	0
bcBMSU	0	0
bcBMUA	0	0
bcBMZY	5	0
bcBNBA	5	0
bcBNDT	0	0
bcBNFS	0	0
bcBNGE	0	0
bcBNIH	0	0
bcBNKL	0	0
bcBNKU	1	0
bcBNPK	0	0
bcBNVC	1	0
bcBNWZ	0	0
bcBNYA	0	0
