cellBC	JAK1wtTXcnt	JAK1mutTXcnt
bcAAAA	0	0
bcAAAD	2	1
bcAABJ	4	0
bcAACT	0	0
bcAADJ	1	1
bcAAHY	2	32
bcAAIV	0	0
bcAAKG	0	0
bcAALV	1	2
bcAAMO	0	29
bcAAPE	0	48
bcAAPL	1	1
bcAARJ	44	0
bcAARW	0	1
bcAATK	0	0
bcAAVA	1	0
bcAAVX	1	0
bcAAWQ	1	4
bcAAZZ	0	0
bcABHL	1	0
bcABJJ	0	0
bcABJL	0	0
bcABJU	1	1
bcABMZ	0	0
bcABNC	3	0
bcABNK	0	1
bcABOT	28	0
bcABRX	0	57
bcABSX	1	0
bcABVE	0	0
bcABVF	48	0
bcABVK	0	1
bcABWQ	31	0
bcABXN	1	7
bcABYZ	0	1
bcACAM	1	0
bcACAX	0	1
bcACCI	20	1
bcACCZ	0	0
bcACDS	1	0
bcACHE	0	1
bcACHF	2	2
bcACHR	2	1
bcACIX	1	0
bcACKN	39	0
bcACMU	125	65
bcACNI	47	0
bcACQT	0	0
bcACSH	0	0
bcACSV	2	0
bcACTP	33	0
bcACTQ	47	0
bcACWD	0	2
bcACWN	2	1
bcACWT	24	0
bcACXU	0	0
bcACXW	0	12
bcADAS	2	0
bcADAU	1	105
bcADBM	1	2
bcADBS	0	0
bcADCF	0	12
bcADCZ	0	0
bcADDW	0	0
bcADFP	0	5
bcADKR	0	1
bcADKT	0	1
bcADLG	2	0
bcADMM	29	1
bcADNC	1	0
bcADSI	0	0
bcADUG	0	1
bcADUJ	1	0
bcADXR	1	0
bcADZS	0	1
bcADZZ	2	1
bcAEAD	0	0
bcAEBG	0	1
bcAECF	0	0
bcAEDL	2	1
bcAEGX	1	0
bcAEIF	0	0
bcAEKC	39	0
bcAELP	46	5
bcAENJ	1	1
bcAEOH	2	2
bcAEOT	0	0
bcAEPM	0	1
bcAEQF	0	1
bcAEQO	0	2
bcAERU	1	1
bcAESW	1	0
bcAEUH	0	0
bcAEWJ	0	0
bcAEXP	0	0
bcAEYK	1	0
bcAFAM	76	0
bcAFBV	91	1
bcAFCE	1	0
bcAFDO	1	0
bcAFFA	1	0
bcAFGL	0	0
bcAFIG	1	0
bcAFJB	1	0
bcAFJE	1	0
bcAFJV	0	0
bcAFKI	0	0
bcAFKX	27	0
bcAFLB	55	32
bcAFNM	1	0
bcAFNO	0	0
bcAFOP	1	2
bcAFQU	31	36
bcAFSH	0	0
bcAFSK	1	0
bcAFTV	0	1
bcAFTW	0	0
bcAFUR	57	0
bcAFXQ	84	1
bcAFYD	0	126
bcAGAL	23	0
bcAGBX	0	0
bcAGCF	1	6
bcAGDL	36	0
bcAGDQ	1	1
bcAGEA	3	0
bcAGEM	9	62
bcAGET	1	1
bcAGGT	2	6
bcAGGV	0	0
bcAGHB	1	0
bcAGHF	4	0
bcAGIH	1	0
bcAGIP	1	0
bcAGIX	1	0
bcAGKU	2	0
bcAGKW	0	0
bcAGMS	0	0
bcAGSY	15	68
bcAGUK	0	0
bcAGVJ	2	0
bcAGWA	0	1
bcAGXR	1	1
bcAGYH	2	27
bcAHAT	0	1
bcAHBN	4	0
bcAHBZ	54	0
bcAHCF	9	0
bcAHDZ	1	0
bcAHGA	1	0
bcAHGS	5	20
bcAHKH	2	1
bcAHMV	0	0
bcAHNO	0	0
bcAHOJ	1	1
bcAHYX	11	79
bcAHZJ	0	1
bcAIAC	1	2
bcAICY	0	0
bcAIEF	2	4
bcAIGB	0	0
bcAIGN	0	0
bcAIHF	0	0
bcAIIQ	55	1
bcAIIU	0	1
bcAINR	6	3
bcAIOD	2	0
bcAIOH	1	0
bcAIOM	1	1
bcAIPB	0	0
bcAIPL	1	0
bcAIRA	0	1
bcAISC	0	1
bcAISQ	1	0
bcAISY	31	0
bcAITU	2	0
bcAIVG	0	0
bcAIWO	0	0
bcAJAF	13	1
bcAJBO	2	0
bcAJBR	0	0
bcAJCW	1	0
bcAJDT	1	2
bcAJEE	0	0
bcAJHF	0	0
bcAJHO	0	0
bcAJIO	1	0
bcAJJH	0	0
bcAJLG	2	1
bcAJLY	0	0
bcAJNZ	1	2
bcAJON	8	0
bcAJRR	1	0
bcAJRS	0	0
bcAJRY	0	0
bcAJSX	0	0
bcAJUY	28	91
bcAJUZ	0	3
bcAJVD	2	1
bcAJVU	4	0
bcAJWB	0	0
bcAJWZ	0	1
bcAKAC	0	0
bcAKAS	0	0
bcAKCU	0	0
bcAKDI	0	0
bcAKFS	0	2
bcAKHO	0	1
bcAKHP	0	0
bcAKIQ	0	0
bcAKKK	0	24
bcAKKQ	1	1
bcAKLZ	1	0
bcAKMC	1	0
bcAKQT	0	0
bcAKRW	4	1
bcAKUD	5	0
bcAKVJ	2	0
bcAKVL	0	0
bcAKVY	1	1
bcAKWF	0	0
bcAKXV	0	18
bcAKXW	1	1
bcAKXX	2	2
bcAKYL	0	63
bcAKZB	0	1
bcAKZO	1	0
bcAKZP	0	0
bcALAA	2	0
bcALAW	1	0
bcALBI	0	0
bcALCS	69	5
bcALEF	1	1
bcALFK	0	0
bcALFO	0	0
bcALGV	0	21
bcALHQ	0	5
bcALIQ	45	0
bcALJN	1	1
bcALJR	11	49
bcALJX	0	2
bcALKZ	0	1
bcALMO	0	1
bcALMX	0	0
bcALOI	1	3
bcALOP	0	3
bcALPH	12	0
bcALPQ	1	0
bcALQF	1	1
bcALRW	0	0
bcALSI	82	0
bcALSO	0	1
bcALSU	0	1
bcALTJ	0	0
bcALTL	0	1
bcALVI	0	48
bcALXI	1	0
bcALYR	0	0
bcALYU	1	0
bcALYW	3	0
bcALYX	31	0
bcAMAH	0	0
bcAMAM	0	0
bcAMAT	0	0
bcAMBF	2	1
bcAMCR	3	2
bcAMCW	0	0
bcAMDQ	0	0
bcAMHE	0	0
bcAMIX	0	0
bcAMJT	1	0
bcAMJU	0	0
bcAMKQ	0	2
bcAMLJ	0	0
bcAMNB	1	3
bcAMNH	2	0
bcAMNM	1	2
bcAMNO	0	0
bcAMNQ	5	1
bcAMOV	45	0
bcAMPK	14	0
bcAMPW	120	0
bcAMSH	3	10
bcAMYC	75	0
bcAMZC	1	2
bcAMZU	0	38
bcANBQ	62	0
bcANCH	0	0
bcANCI	3	0
bcANCQ	1	52
bcANFR	0	1
bcANFW	47	0
bcANGG	0	0
bcANHT	1	0
bcANJM	0	0
bcANLF	0	0
bcANNY	1	0
bcANOE	0	1
bcANOP	0	0
bcANPR	0	2
bcANQS	0	0
bcANSX	0	2
bcANUD	0	18
bcANWN	0	0
bcANWS	1	0
bcANXY	0	0
bcANZJ	6	0
bcAODK	0	0
bcAODX	41	0
bcAOEC	13	0
bcAOFK	1	0
bcAOFZ	2	0
bcAOGP	67	1
bcAOID	30	0
bcAOIP	0	0
bcAOJP	1	2
bcAOKE	0	0
bcAOPD	0	0
